Registration Number,Annual Turnover
20178,25000000
20179,25000000
20180,25000000
20181,25000000
20182,25000000
20183,25000000
20184,25000000
20185,25000000
20186,25000000
20187,25000000
20188,25000000
20189,25000000
20190,25000000
20191,25000000
20192,25000000
20193,25000000
20194,25000000
20195,25000000
20196,25000000
20197,25000000
20198,25000000
20199,25000000
20200,25000000
20201,25000000
20202,25000000
20203,25000000
20204,25000000
20205,25000000
20206,25000000
20207,25000000
20208,25000000
20209,25000000
20210,25000000
20211,25000000
20212,25000000
20213,25000000
20214,25000000
20215,25000000
20216,25000000
20217,25000000
20218,25000000
20219,25000000
20220,25000000
20221,25000000
20222,25000000
20223,25000000
20224,25000000
20225,25000000
20226,25000000
20227,25000000
20228,25000000
20229,25000000
20230,25000000
20231,25000000
20232,25000000
20233,25000000
20234,25000000
20235,25000000
20236,25000000
20237,25000000
20238,25000000
20239,25000000
20240,25000000
20241,25000000
20242,25000000
20243,25000000
20244,25000000
20245,25000000
20246,25000000
20247,25000000
20248,25000000
20249,25000000
20250,25000000
20251,25000000
20252,25000000
20253,25000000
20254,25000000
20255,25000000
20256,25000000
20257,25000000
20258,25000000
20259,25000000
20260,25000000
20261,25000000
20262,25000000
20263,25000000
20264,25000000
20265,25000000
20266,25000000
20267,25000000
20268,25000000
20269,25000000
20270,25000000
20271,25000000
20272,25000000
20273,25000000
20274,25000000
20275,25000000
20276,25000000
20277,25000000
20278,25000000
20279,25000000
20280,25000000
20281,25000000
20282,25000000
20283,25000000
20284,25000000
20285,25000000
20286,25000000
20287,25000000
20288,25000000
20289,25000000
20290,25000000
20291,25000000
20292,25000000
20293,25000000
20294,25000000
20295,25000000
20296,25000000
20297,25000000
20298,25000000
20299,25000000
20300,25000000
20301,25000000
20302,25000000
20303,25000000
20304,25000000
20305,25000000
20306,25000000
20307,25000000
20308,25000000
20309,25000000
20310,25000000
20311,25000000
20312,25000000
20313,25000000
20314,25000000
20315,25000000
20316,25000000
20317,25000000
20318,25000000
20319,25000000
20320,25000000
20321,25000000
20322,25000000
20323,25000000
20324,25000000
20325,25000000
20326,25000000
20327,25000000
20328,25000000
20329,25000000
20330,25000000
20331,25000000
20332,25000000
20333,25000000
20334,25000000
20335,25000000
20336,25000000
20337,25000000
20338,25000000
20339,25000000
20340,25000000
20341,25000000
20342,25000000
20343,25000000
20344,25000000
20345,25000000
20346,25000000
20347,25000000
20348,25000000
20349,25000000
20350,25000000
20351,25000000
20352,25000000
20353,25000000
20354,25000000
20355,25000000
20356,25000000
20357,25000000
20358,25000000
20359,25000000
20360,25000000
20361,25000000
20362,25000000
20363,25000000
20364,25000000
20365,25000000
20366,25000000
20367,25000000
20368,25000000
20369,25000000
20370,25000000
20371,25000000
20372,25000000
20373,25000000
20374,25000000
20375,25000000
20376,25000000
20377,25000000
20378,25000000
20379,25000000
20380,25000000
20381,25000000
20382,25000000
20383,25000000
20384,25000000
20385,25000000
20386,25000000
20387,25000000
20388,25000000
20389,25000000
20390,25000000
20391,25000000
20392,25000000
20393,25000000
20394,25000000
20395,25000000
20396,25000000
20397,25000000
20398,25000000
20399,25000000
20400,25000000
20401,25000000
20402,25000000
20403,25000000
20404,25000000
20405,25000000
20406,25000000
20407,25000000
20408,25000000
20409,25000000
20410,25000000
20411,25000000
20412,25000000
20413,25000000
20414,25000000
20415,25000000
20416,25000000
20417,25000000
20418,25000000
20419,25000000
20420,25000000
20421,25000000
20422,25000000
20423,25000000
20424,25000000
20425,25000000
20426,25000000
20427,25000000
20428,25000000
20429,25000000
20430,25000000
20431,25000000
20432,25000000
20433,25000000
20434,25000000
20435,25000000
20436,25000000
20437,25000000
20438,25000000
20439,25000000
20440,25000000
20441,25000000
20442,25000000
20443,25000000
20444,25000000
20445,25000000
20446,25000000
20447,25000000
20448,25000000
20449,25000000
20450,25000000
20451,25000000
20452,25000000
20453,25000000
20454,25000000
20455,25000000
20456,25000000
20457,25000000
20458,25000000
20459,25000000
20460,25000000
20461,25000000
20462,25000000
20463,25000000
20464,25000000
20465,25000000
20466,25000000
20467,25000000
20468,25000000
20469,25000000
20470,25000000
20471,25000000
20472,25000000
20473,25000000
20474,25000000
20475,25000000
20476,25000000
20477,25000000
20478,25000000
20479,25000000
20480,25000000
20481,25000000
20482,25000000
20483,25000000
20484,25000000
20485,25000000
20486,25000000
20487,25000000
20488,25000000
20489,25000000
20490,25000000
20491,25000000
20492,25000000
20493,25000000
20494,25000000
20495,25000000
20496,25000000
20497,25000000
20498,25000000
20499,25000000
20500,25000000
